Column1,꽃,월,일,계절,꽃말,설명,이미지
657,미니 심비디움,1,3,겨울,미인,크기와 색상이 다양하며 수명이 긴 것이 특징인 심비디움은 서양난의 한 종류예요. 별다른 컨디셔닝없이 화병에 3-4대씩 꽂아 연출하면 일주일 정도 볼 수 있는 꽃이기도 합니다. 일반 심비디움에 비해 크기가 다소 작지만 그만큼 다양한 곳에 활용하기 좋아서 우아한 연출도 손쉽게 가능해요.,https://file.honestflower.kr/media/images/ingredientimage/1710809613/1291_square.webp
258,미모사,1,2,겨울,예민한 마음,미모사를 탄생화로 가진 당신은 솔직하고 예민한 감각의 소유자여서 때때로 심약한 면을 드러냅니다.,https://img.lush.co.kr/product/ingredients/mimosa_1000.jpg
661,미모사 아카시아,1,3,겨울,우정,"보송보송한 질감, 병아리와 같은 짙은 노랑의 색감, 무엇보다 진한 향기로 겨울철 가장 사랑받는 대표적인 소재 아카시아류의 소재에 특정 시즌에만 피는 꽃으로 1월~3월초에 가장 아름답고 풍성합니다. 유럽에서는 3월8일 여성의 날, 이 꽃을 상징적으로 주고 받는다고 하여 더욱 유명합니다. 주로 이탈리아, 네덜란드로부터 수입되어 유통됩니다.",https://file.honestflower.kr/media/images/ingredientimage/1709162314/1111_square.webp
246,보랏빛제비꽃,1,5,겨울,사랑,당신은 사려깊고 지혜가 있는 것이 매력이니 승부에 연연하는 것은 어울리지 않습니다.,https://img1.daumcdn.net/thumb/R1280x0.fjpg/?fname=http://t1.daumcdn.net/brunch/service/user/eiwO/image/Cfux7cFxLlMBc8NCKFn7oxXn7D8
255,부들,1,6,겨울,순종,차분히 있지 못하고 성급히 판단을 내리고 마는 것이 장점이기도 하고 결점이기도 합니다.,https://cafe24.poxo.com/ec01/ykw615/YepDBcpQi6F1EGuL9rzRwTRwyFatIT9iJSrdcEe9dvJ8OBQ9m82FlQBs+XUE414BIeIKLreN1qNW8BZkOSALjw==/_/web/product/big/201607/1602_shop1_695832.png
11,사스레피나무,1,7,겨울,당신은 소중합니다.,오래 전 졸업식이나 입학식의 꽃다발 장식에 빠지지 않고 쓰였던 나무이다. 지금은 축하나 조문용 화환을 만들 때 뒷 바탕을 장식하는 상록소재로 거의 빠짐없이 들어간다.잎이 상록성으로 연중이용이 가능하여 꽃꽂이나 화환제작 등에 가지나 줄기를 잘라 이용한다. 특히 일본에서는 제례용 소재로 많이 이용된다. 잎 모양이 좋고 열매도 아름다워 남부에서는 정원수로도 훌륭한 소재이다.,https://www.nihhs.go.kr/user/AttachFiles/FLOWF/0123-3.jpg
12,산호수,1,8,겨울,"용감, 총명","바다의 보석이라 일컫는 ‘산호’가 있는데, 산호 중에도 으뜸으로 치는 것이 적색산호라 한다. 산호수의 빨간 열매가 이 바다의 산호를 꼭 닮아서 붙여진 이름인 듯 하다.잎이 늘 녹색을 띠며 줄기가 옆으로 뻗는 특성이 있고 가을에 맺는 열매가 일품으로 분화용이나 실내조경용으로 많이 이용되고 있다. 특히 키가 작고 분지력이 좋은 데다 실내 그늘진 곳에서도 잘 자란다. 일본에서 인기가 많아 분화용으로 수출하기도 한다.",https://www.nihhs.go.kr/user/AttachFiles/FLOWF/0125-3.jpg
241,샤프란,1,9,겨울,후회없는 청춘,사랑도 인생도 후회없이 사는 사람입니다. 약삭 빠른 계산은 당신에게 전혀 어울리지 않습니다.,https://blog.kakaocdn.net/dn/uXF2s/btrvvaZs2ko/Hu547osg8hw1fSo5Iqh9tK/img.jpg
256,샤프란,1,1,겨울,절도의 미,"사명감을 갖고 살고 있는 당신은 사치를 금하고 절도를 지킨다면 반드시 기회가 올 것입니다.
옛날 어느 나라에 아름답고 현명한 아가씨가 있었다. 그녀는 왕과 결혼하게 되었고 예물로 화려한 목 걸이를 받았다. 마음씨 고운 그녀는 그것을 걸인에게 주었고 그 때문에 손목이 잘려 쫓겨나고 말았다. 그 뒤 다른 나라에 가서 대상인의 아내가 됐지만, 또 손님을 대접할 진수성찬을 걸인에게 주고 말았 다. 부인은 남편에게 꾸중을 듣게 되자 "" 이 나라로 오는 길에 예언자가 나타나 잘려 나간 손목을 원 래 대로 회복시켜 주고 '주어라'라는 한마디를 한 뒤, 부인의 머리위에 온통 사프란 꽃을 피게 해서 축 복했다 "" 는 이야기를 했다. 이야기를 듣고 있던 상인과 걸인은 모두 놀랐다. 옛날에 목걸이를 받은 걸 인이 지금의 대상인이고, 진수 성찬을 받은 걸인은 옛 남편, 곧 몰락한 왕이었던 것이다.",https://blog.kakaocdn.net/dn/uXF2s/btrvvaZs2ko/Hu547osg8hw1fSo5Iqh9tK/img.jpg
261,샤프란,1,11,겨울,청춘의 즐거움,"밝고 발랄한 것이 당신의 운명입니다. 비탄은 어울리지 않으므로 항상 밝게 생활한다면 빛나는 사랑 을 얻게 될 것입니다.
옛날 어느 나라에 아름답고 현명한 아가씨가 있었다. 그녀는 왕과 결혼하게 되었고 예물로 화려한 목 걸이를 받았다. 마음씨 고운 그녀는 그것을 걸인에게 주었고 그 때문에 손목이 잘려 쫓겨나고 말았다. 그 뒤 다른 나라에 가서 대상인의 아내가 됐지만, 또 손님을 대접할 진수성찬을 걸인에게 주고 말았 다. 부인은 남편에게 꾸중을 듣게 되자 "" 이 나라로 오는 길에 예언자가 나타나 잘려 나간 손목을 원 래 대로 회복시켜 주고 '주어라'라는 한마디를 한 뒤, 부인의 머리위에 온통 사프란 꽃을 피게 해서 축 복했다 ""는 이야기를 했다. 이야기를 듣고 있던 상인과 걸인은 모두 놀랐다. 옛날에 목걸이를 받은 걸 인이 지금의 대상인이고, 진수 성찬을 받은 걸인은 옛 남편, 곧 몰락한 왕이었던 것이다.",https://blog.kakaocdn.net/dn/uXF2s/btrvvaZs2ko/Hu547osg8hw1fSo5Iqh9tK/img.jpg
